team_points,team_bags,other_team_points,other_team_bags,game_win
429,9,399,9,1
399,9,429,9,0
372,2,332,2,1
332,2,372,2,0
418,8,362,8,1
362,2,418,8,0
361,1,395,1,1
395,5,361,1,0
406,6,426,6,1
426,6,406,6,0
340,0,468,0,1
468,8,340,0,0
384,4,400,4,1
400,0,384,4,0
407,7,444,7,1
444,4,407,7,0
342,2,485,2,1
485,5,342,2,0
373,3,430,3,1
430,0,373,3,0
414,4,456,4,1
456,6,414,4,0
467,7,479,7,1
479,9,467,7,0
499,9,423,9,1
423,3,499,9,0
432,2,457,2,1
457,7,432,2,0
466,6,390,6,1
390,0,466,6,0
488,8,444,8,1
444,4,488,8,0
0,0,0,0,1
0,0,0,0,0
52,2,24,2,1
24,4,52,2,0
107,7,45,7,1
45,5,107,7,0
41,1,96,1,1
96,6,41,1,0
73,3,31,3,1
31,1,73,3,0
114,4,57,4,1
57,7,114,4,0
156,6,-9,6,1
-9,1,156,6,0
92,2,22,2,1
22,2,92,2,0
147,7,52,7,1
52,2,147,7,0
101,1,74,1,1
74,4,101,1,0
122,2,20,2,1
20,0,122,2,0
176,6,51,6,1
51,1,176,6,0
207,7,96,7,1
96,6,207,7,0
141,1,129,1,1
129,9,141,1,0
185,5,61,5,1
61,1,185,5,0
217,7,105,7,1
105,5,217,7,0
162,2,136,2,1
136,6,162,2,0
207,7,158,7,1
158,8,207,7,0
239,9,93,9,1
93,3,239,9,0
190,0,118,0,1
118,8,190,0,0
234,4,50,4,1
50,0,234,4,0
265,5,95,5,1
95,5,265,5,0
298,8,129,8,1
129,9,298,8,0
319,9,84,9,1
84,4,319,9,0
254,4,116,4,1
116,6,254,4,0
288,8,149,8,1
149,9,288,8,0
211,1,93,1,1
93,3,211,1,0
231,1,149,1,1
149,9,231,1,0
263,3,84,3,1
84,4,263,3,0
296,6,118,6,1
118,8,296,6,0
221,1,60,1,1
60,0,221,1,0
277,7,80,7,1
80,0,277,7,0
221,1,112,1,1
112,2,221,1,0
243,3,166,3,1
166,6,243,3,0
286,6,208,6,1
208,8,286,6,0
318,8,152,8,1
152,2,318,8,0
349,9,188,9,1
188,8,349,9,0
281,1,132,1,1
132,2,281,1,0
325,5,155,5,1
155,5,325,5,0
357,7,199,7,1
199,9,357,7,0
280,0,143,0,1
143,3,280,0,0
302,2,197,2,1
197,7,302,2,0
337,7,229,7,1
229,9,337,7,0
379,9,163,9,1
163,3,379,9,0
313,3,205,3,1
205,5,313,3,0
348,8,237,8,1
237,7,348,8,0
270,0,191,0,1
191,1,270,0,0
314,4,223,4,1
223,3,314,4,0
345,5,268,5,1
268,8,345,5,0
379,9,201,9,1
201,1,379,9,0
334,4,222,4,1
222,2,334,4,0
367,7,265,7,1
265,5,367,7,0
310,0,298,0,1
298,8,310,0,0
345,5,230,5,1
230,0,345,5,0
389,9,262,9,1
262,2,389,9,0
313,3,305,3,1
305,5,313,3,0
346,6,339,6,1
339,9,346,6,0
378,8,274,8,1
274,4,378,8,0
323,3,296,3,1
296,6,323,3,0
377,7,318,7,1
318,8,377,7,0
409,9,253,9,1
253,3,409,9,0
354,4,284,4,1
284,4,354,4,0
397,7,317,7,1
317,7,397,7,0
342,2,339,2,1
339,9,342,2,0
363,3,285,3,1
285,5,363,3,0
407,7,317,7,1
317,7,407,7,0
342,2,349,2,1
349,9,342,2,0
377,7,290,7,1
290,0,377,7,0
322,2,321,2,1
321,1,322,2,0
343,3,367,3,1
367,7,343,3,0
385,5,301,5,1
301,1,385,5,0
419,9,334,9,1
334,4,419,9,0
353,3,376,3,1
376,6,353,3,0
377,7,419,7,1
419,9,377,7,0
300,0,363,0,1
363,3,300,0,0
325,5,405,5,1
405,5,325,5,0
348,8,458,8,1
458,8,348,8,0
291,1,391,1,1
391,1,291,1,0
312,2,437,2,1
437,7,312,2,0
344,4,381,4,1
381,1,344,4,0
385,5,416,5,1
416,6,385,5,0
409,9,468,9,1
468,8,409,9,0
353,3,391,3,1
391,1,353,3,0
398,8,422,8,1
422,2,398,8,0
428,8,459,8,1
459,9,428,8,0
363,3,400,3,1
400,0,363,3,0
406,6,424,6,1
424,4,406,6,0
437,7,469,7,1
469,9,437,7,0
457,7,416,7,1
416,6,457,7,0
489,9,360,9,1
360,0,489,9,0
434,4,382,4,1
382,2,434,4,0
465,5,427,5,1
427,7,465,5,0
486,6,373,6,1
373,3,486,6,0
0,0,0,0,0
0,0,0,0,1
24,4,43,4,0
43,3,24,4,1
77,7,66,7,0
66,6,77,7,1
30,0,89,0,0
89,9,30,0,1
51,1,35,1,0
35,5,51,1,1
94,4,59,4,0
59,9,94,4,1
125,5,4,5,0
4,4,125,5,1
167,7,38,7,0
38,8,167,7,1
100,0,-19,0,0
-19,1,100,0,1
145,5,12,5,0
12,2,145,5,1
189,9,44,9,0
44,4,189,9,1
142,2,67,2,0
67,7,142,2,1
184,4,1,4,0
1,1,184,4,1
217,7,44,7,0
44,4,217,7,1
162,2,84,2,0
84,4,162,2,1
206,6,107,6,0
107,7,206,6,1
238,8,60,8,0
60,0,238,8,1
269,9,114,9,0
114,4,269,9,1
200,0,50,0,0
50,0,200,0,1
222,2,95,2,0
95,5,222,2,1
266,6,127,6,0
127,7,266,6,1
200,0,60,0,0
60,0,200,0,1
245,5,82,5,0
82,2,245,5,1
201,1,102,1,0
102,2,201,1,1
226,6,144,6,0
144,4,226,6,1
160,0,177,0,0
177,7,160,0,1
204,4,209,4,0
209,9,204,4,1
140,0,140,0,0
140,0,140,0,1
194,4,162,4,0
162,2,194,4,1
239,9,193,9,0
193,3,239,9,1
164,4,235,4,0
235,5,164,4,1
198,8,268,8,0
268,8,198,8,1
124,4,309,4,0
309,9,124,4,1
168,8,241,8,0
241,1,168,8,1
199,9,286,9,0
286,6,199,9,1
124,4,328,4,0
328,8,124,4,1
61,1,358,1,0
358,8,61,1,1
95,5,300,5,0
300,0,95,5,1
129,9,342,9,0
342,2,129,9,1
52,2,395,2,0
395,5,52,2,1
73,3,350,3,0
350,0,73,3,1
126,6,373,6,0
373,3,126,6,1
71,1,395,1,0
395,5,71,1,1
115,5,418,5,0
418,8,115,5,1
135,5,374,5,0
374,4,135,5,1
168,8,408,8,0
408,8,168,8,1
101,1,342,1,0
342,2,101,1,1
135,5,375,5,0
375,5,135,5,1
80,0,397,0,0
397,7,80,0,1
102,2,351,2,0
351,1,102,2,1
126,6,403,6,0
403,3,126,6,1
70,0,426,0,0
426,6,70,0,1
104,4,459,4,0
459,9,104,4,1
125,5,405,5,0
405,5,125,5,1
146,6,351,6,0
351,1,146,6,1
82,2,382,2,0
382,2,82,2,1
113,3,427,3,0
427,7,113,3,1
135,5,381,5,0
381,1,135,5,1
169,9,414,9,0
414,4,169,9,1
94,4,456,4,0
456,6,94,4,1
115,5,402,5,0
402,2,115,5,1
51,1,433,1,0
433,3,51,1,1
94,4,457,4,0
457,7,94,4,1
148,8,479,8,0
479,9,148,8,1
70,0,424,0,0
424,4,70,0,1
95,5,466,5,0
466,6,95,5,1
31,1,497,1,0
497,7,31,1,1
74,4,421,4,0
421,1,74,4,1
30,0,441,0,0
441,1,30,0,1
62,2,476,2,0
476,6,62,2,1
93,3,412,3,0
412,2,93,3,1
126,6,455,6,0
455,5,126,6,1
147,7,401,7,0
401,1,147,7,1
167,7,466,7,0
466,6,167,7,1
112,2,497,2,0
497,7,112,2,1
0,0,0,0,1
0,0,0,0,0
42,2,34,2,1
34,4,42,2,0
75,5,77,5,1
77,7,75,5,0
117,7,11,7,1
11,1,117,7,0
138,8,57,8,1
57,7,138,8,0
71,1,0,1,1
0,0,71,1,0
104,4,34,4,1
34,4,104,4,0
60,0,54,0,1
54,4,60,0,0
93,3,97,3,1
97,7,93,3,0
137,7,20,7,1
20,0,137,7,0
82,2,42,2,1
42,2,82,2,0
114,4,77,4,1
77,7,114,4,0
149,9,118,9,1
118,8,149,9,0
73,3,70,3,1
70,0,73,3,0
96,6,114,6,1
114,4,96,6,0
42,2,144,2,1
144,4,42,2,0
87,7,166,7,1
166,6,87,7,0
30,0,90,0,1
90,0,30,0,0
72,2,124,2,1
124,4,72,2,0
125,5,156,5,1
156,6,125,5,0
165,5,92,5,1
92,2,165,5,0
188,8,145,8,1
145,5,188,8,0
131,1,169,1,1
169,9,131,1,0
174,4,93,4,1
93,3,174,4,0
208,8,135,8,1
135,5,208,8,0
153,3,166,3,1
166,6,153,3,0
183,3,112,3,1
112,2,183,3,0
224,4,147,4,1
147,7,224,4,0
254,4,102,4,1
102,2,254,4,0
298,8,125,8,1
125,5,298,8,0
253,3,146,3,1
146,6,253,3,0
286,6,189,6,1
189,9,286,6,0
230,0,121,0,1
121,1,230,0,0
253,3,165,3,1
165,5,253,3,0
299,9,186,9,1
186,6,299,9,0
233,3,219,3,1
219,9,233,3,0
274,4,154,4,1
154,4,274,4,0
299,9,196,9,1
196,6,299,9,0
231,1,131,1,1
131,1,231,1,0
263,3,166,3,1
166,6,263,3,0
307,7,198,7,1
198,8,307,7,0
251,1,121,1,1
121,1,251,1,0
283,3,165,3,1
165,5,283,3,0
326,6,198,6,1
198,8,326,6,0
251,1,249,1,1
249,9,251,1,0
285,5,182,5,1
182,2,285,5,0
316,6,227,6,1
227,7,316,6,0
348,8,162,8,1
162,2,348,8,0
292,2,185,2,1
185,5,292,2,0
337,7,207,7,1
207,7,337,7,0
272,2,239,2,1
239,9,272,2,0
317,7,161,7,1
161,1,317,7,0
260,0,194,0,1
194,4,260,0,0
295,5,235,5,1
235,5,295,5,0
338,8,268,8,1
268,8,338,8,0
272,2,210,2,1
210,0,272,2,0
318,8,240,8,1
240,0,318,8,0
251,1,274,1,1
274,4,251,1,0
283,3,318,3,1
318,8,283,3,0
325,5,252,5,1
252,2,325,5,0
260,0,293,0,1
293,3,260,0,0
302,2,327,2,1
327,7,302,2,0
